Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
4.000000000000000000e+02,9.690694320897883074e+01,2.013645105412395608e+00
4.010000000000000000e+02,9.669863205077292889e+01,2.014579669629542380e+00
4.020000000000000000e+02,9.648200793533028730e+01,2.015553666790162346e+00
4.030000000000000000e+02,9.625728535042222234e+01,2.016566390466226100e+00
4.040000000000000000e+02,9.602471775912714236e+01,2.017616960661966719e+00
4.050000000000000000e+02,9.578460509556401803e+01,2.018704286947676341e+00
4.060000000000000000e+02,9.553730794861320419e+01,2.019827000435271191e+00
4.070000000000000000e+02,9.528327120289557683e+01,2.020983341355465868e+00
4.080000000000000000e+02,9.502306027333091265e+01,2.022170986983336860e+00
4.090000000000000000e+02,9.475741299753902069e+01,2.023386804600075806e+00
4.100000000000000000e+02,9.448730926057872637e+01,2.024626518350162385e+00
4.110000000000000000e+02,9.421405782204141133e+01,2.025884290635659113e+00
4.120000000000000000e+02,9.393939476496751695e+01,2.027152242226876844e+00
4.130000000000000000e+02,9.366557985357881932e+01,2.028419973956915978e+00
4.140000000000000000e+02,9.339546616101266352e+01,2.029674205879605342e+00
4.150000000000000000e+02,9.313250695803178303e+01,2.030898706468618364e+00
4.160000000000000000e+02,9.288065751866227515e+01,2.032074718810869207e+00
4.170000000000000000e+02,9.264413652406683752e+01,2.033182062106815291e+00
4.180000000000000000e+02,9.242703985433033154e+01,2.034200955818922019e+00
4.190000000000000000e+02,9.223284874327428895e+01,2.035114377349669823e+00
4.200000000000000000e+02,9.206392968230656493e+01,2.035910491500294572e+00
4.210000000000000000e+02,9.192115653709210221e+01,2.036584520062619141e+00
4.220000000000000000e+02,9.180376913382815474e+01,2.037139487857365872e+00
4.230000000000000000e+02,9.170951396556580448e+01,2.037585608185827901e+00
4.240000000000000000e+02,9.163502141686147695e+01,2.037938514309349802e+00
4.250000000000000000e+02,9.157630531393633078e+01,2.038216882255560414e+00
4.260000000000000000e+02,9.152925443176009423e+01,2.038440075248454164e+00
4.270000000000000000e+02,9.149001871598090929e+01,2.038626283562195329e+00
4.280000000000000000e+02,9.145524845676848713e+01,2.038791366071576405e+00
4.290000000000000000e+02,9.142219392714744686e+01,2.038948360830312279e+00
4.300000000000000000e+02,9.138870122056258083e+01,2.039107494647854235e+00
4.310000000000000000e+02,9.135314718568095316e+01,2.039276486277171507e+00
4.320000000000000000e+02,9.131435018035951146e+01,2.039460967105143574e+00
4.330000000000000000e+02,9.127148216676734194e+01,2.039664896860875043e+00
4.340000000000000000e+02,9.122399690429124064e+01,2.039890903423180024e+00
4.350000000000000000e+02,9.117158097560064789e+01,2.040140514181131515e+00
4.360000000000000000e+02,9.111412932644766727e+01,2.040414270527563634e+00
4.370000000000000000e+02,9.105174417341680737e+01,2.040711730510080368e+00
4.380000000000000000e+02,9.098475456085290602e+01,2.041031372126974830e+00
4.390000000000000000e+02,9.091375265201729405e+01,2.041370415467687049e+00
4.400000000000000000e+02,9.083964135651756067e+01,2.041724589084544572e+00
4.410000000000000000e+02,9.076368572273739233e+01,2.042087876641818234e+00
4.420000000000000000e+02,9.068755759275677519e+01,2.042452294411616798e+00
4.430000000000000000e+02,9.061335973214572448e+01,2.042807766669638259e+00
4.440000000000000000e+02,9.054361303604575539e+01,2.043142179486114429e+00
4.450000000000000000e+02,9.048119016090566902e+01,2.043441695473025010e+00
4.460000000000000000e+02,9.042918307616507434e+01,2.043691392493054870e+00
4.470000000000000000e+02,9.039070213086935723e+01,2.043876240110157561e+00
4.480000000000000000e+02,9.036862006873981557e+01,2.043982349357115424e+00
4.490000000000000000e+02,9.036529282062544155e+01,2.043998339776102569e+00
4.500000000000000000e+02,9.038230368885794519e+01,2.043916593447296925e+00
4.510000000000000000e+02,9.042028158449177511e+01,2.043734144831026001e+00
4.520000000000000000e+02,9.047883290487813213e+01,2.043453010052542762e+00
4.530000000000000000e+02,9.055660213398735436e+01,2.043079881453333968e+00
4.540000000000000000e+02,9.065144635618790403e+01,2.042625262285514331e+00
4.550000000000000000e+02,9.076068436179079413e+01,2.042102238068846720e+00
4.560000000000000000e+02,9.088136993365037597e+01,2.041525135086613041e+00
4.570000000000000000e+02,9.101054292532096213e+01,2.040908294831952130e+00
4.580000000000000000e+02,9.114542648899637811e+01,2.040265118566044755e+00
4.590000000000000000e+02,9.128355715187871056e+01,2.039607444605049835e+00
4.600000000000000000e+02,9.142285019925890310e+01,2.038945243268575513e+00
4.610000000000000000e+02,9.156161281059895884e+01,2.038286566056750626e+00
4.620000000000000000e+02,9.169852137969782291e+01,2.037637667185108192e+00
4.630000000000000000e+02,9.183257897258171454e+01,2.037003219038835411e+00
4.640000000000000000e+02,9.196306595408584883e+01,2.036386558229801302e+00
4.650000000000000000e+02,9.208949311043990349e+01,2.035789917517147440e+00
4.660000000000000000e+02,9.221156312792787446e+01,2.035214615955286632e+00
4.670000000000000000e+02,9.232914347960239354e+01,2.034661193290322689e+00
4.680000000000000000e+02,9.244225163837144521e+01,2.034129484847940095e+00
4.690000000000000000e+02,9.255105187383514931e+01,2.033618640980161096e+00
4.700000000000000000e+02,9.265586142991620022e+01,2.033127101912814094e+00
4.710000000000000000e+02,9.275716238581996720e+01,2.032652545707077874e+00
