Wavenumber(cm-1),Transmittance(%)
4.000000000000000000e+02,1.000000000000000000e+02
4.010000000000000000e+02,1.000000000000000000e+02
4.020000000000000000e+02,1.000000000000000000e+02
4.030000000000000000e+02,1.000000000000000000e+02
4.040000000000000000e+02,1.000000000000000000e+02
4.050000000000000000e+02,1.000000000000000000e+02
4.060000000000000000e+02,1.000000000000000000e+02
4.070000000000000000e+02,1.000000000000000000e+02
4.080000000000000000e+02,1.000000000000000000e+02
4.090000000000000000e+02,1.000000000000000000e+02
4.100000000000000000e+02,1.000000000000000000e+02
4.110000000000000000e+02,1.000000000000000000e+02
4.120000000000000000e+02,1.000000000000000000e+02
4.130000000000000000e+02,1.000000000000000000e+02
4.140000000000000000e+02,1.000000000000000000e+02
4.150000000000000000e+02,1.000000000000000000e+02
4.160000000000000000e+02,1.000000000000000000e+02
4.170000000000000000e+02,1.000000000000000000e+02
4.180000000000000000e+02,1.000000000000000000e+02
4.190000000000000000e+02,1.000000000000000000e+02
4.200000000000000000e+02,1.000000000000000000e+02
4.210000000000000000e+02,1.000000000000000000e+02
4.220000000000000000e+02,1.000000000000000000e+02
4.230000000000000000e+02,1.000000000000000000e+02
4.240000000000000000e+02,1.000000000000000000e+02
4.250000000000000000e+02,1.000000000000000000e+02
4.260000000000000000e+02,1.000000000000000000e+02
4.270000000000000000e+02,1.000000000000000000e+02
4.280000000000000000e+02,1.000000000000000000e+02
4.290000000000000000e+02,1.000000000000000000e+02
4.300000000000000000e+02,1.000000000000000000e+02
4.310000000000000000e+02,1.000000000000000000e+02
4.320000000000000000e+02,1.000000000000000000e+02
4.330000000000000000e+02,1.000000000000000000e+02
4.340000000000000000e+02,1.000000000000000000e+02
4.350000000000000000e+02,1.000000000000000000e+02
4.360000000000000000e+02,1.000000000000000000e+02
4.370000000000000000e+02,1.000000000000000000e+02
4.380000000000000000e+02,1.000000000000000000e+02
4.390000000000000000e+02,1.000000000000000000e+02
4.400000000000000000e+02,1.000000000000000000e+02
4.410000000000000000e+02,1.000000000000000000e+02
4.420000000000000000e+02,1.000000000000000000e+02
4.430000000000000000e+02,1.000000000000000000e+02
4.440000000000000000e+02,1.000000000000000000e+02
4.450000000000000000e+02,1.000000000000000000e+02
4.460000000000000000e+02,1.000000000000000000e+02
4.470000000000000000e+02,1.000000000000000000e+02
4.480000000000000000e+02,1.000000000000000000e+02
4.490000000000000000e+02,1.000000000000000000e+02
4.500000000000000000e+02,1.000000000000000000e+02
4.510000000000000000e+02,1.000000000000000000e+02
4.520000000000000000e+02,1.000000000000000000e+02
4.530000000000000000e+02,1.000000000000000000e+02
4.540000000000000000e+02,1.000000000000000000e+02
4.550000000000000000e+02,1.000000000000000000e+02
4.560000000000000000e+02,1.000000000000000000e+02
4.570000000000000000e+02,1.000000000000000000e+02
4.580000000000000000e+02,1.000000000000000000e+02
4.590000000000000000e+02,1.000000000000000000e+02
4.600000000000000000e+02,1.000000000000000000e+02
4.610000000000000000e+02,1.000000000000000000e+02
4.620000000000000000e+02,1.000000000000000000e+02
4.630000000000000000e+02,1.000000000000000000e+02
4.640000000000000000e+02,1.000000000000000000e+02
4.650000000000000000e+02,1.000000000000000000e+02
4.660000000000000000e+02,1.000000000000000000e+02
4.670000000000000000e+02,1.000000000000000000e+02
4.680000000000000000e+02,1.000000000000000000e+02
4.690000000000000000e+02,1.000000000000000000e+02
4.700000000000000000e+02,1.000000000000000000e+02
4.710000000000000000e+02,1.000000000000000000e+02
4.720000000000000000e+02,1.000000000000000000e+02
4.730000000000000000e+02,1.000000000000000000e+02
4.740000000000000000e+02,9.999999999999998579e+01
4.750000000000000000e+02,9.999999999999998579e+01
4.760000000000000000e+02,9.999999999999997158e+01
4.770000000000000000e+02,9.999999999999997158e+01
4.780000000000000000e+02,9.999999999999995737e+01
4.790000000000000000e+02,9.999999999999992895e+01
4.800000000000000000e+02,9.999999999999990052e+01
4.810000000000000000e+02,9.999999999999985789e+01
4.820000000000000000e+02,9.999999999999978684e+01
4.830000000000000000e+02,9.999999999999968736e+01
4.840000000000000000e+02,9.999999999999954525e+01
4.850000000000000000e+02,9.999999999999934630e+01
4.860000000000000000e+02,9.999999999999906208e+01
4.870000000000000000e+02,9.999999999999866418e+01
4.880000000000000000e+02,9.999999999999806732e+01
4.890000000000000000e+02,9.999999999999724309e+01
4.900000000000000000e+02,9.999999999999606359e+01
4.910000000000000000e+02,9.999999999999438671e+01
4.920000000000000000e+02,9.999999999999201350e+01
4.930000000000000000e+02,9.999999999998867395e+01
4.940000000000000000e+02,9.999999999998395595e+01
4.950000000000000000e+02,9.999999999997733369e+01
4.960000000000000000e+02,9.999999999996803979e+01
4.970000000000000000e+02,9.999999999995505107e+01
4.980000000000000000e+02,9.999999999993691802e+01
4.990000000000000000e+02,9.999999999991166533e+01
5.000000000000000000e+02,9.999999999987659294e+01
5.010000000000000000e+02,9.999999999982796339e+01
5.020000000000000000e+02,9.999999999976070342e+01
5.030000000000000000e+02,9.999999999966787811e+01
5.040000000000000000e+02,9.999999999954007990e+01
5.050000000000000000e+02,9.999999999936451900e+01
5.060000000000000000e+02,9.999999999912388660e+01
5.070000000000000000e+02,9.999999999879480583e+01
5.080000000000000000e+02,9.999999999834582809e+01
5.090000000000000000e+02,9.999999999773460502e+01
5.100000000000000000e+02,9.999999999690443531e+01
5.110000000000000000e+02,9.999999999577943299e+01
5.120000000000000000e+02,9.999999999425834574e+01
5.130000000000000000e+02,9.999999999220639779e+01
5.140000000000000000e+02,9.999999998944460344e+01
5.150000000000000000e+02,9.999999998573586879e+01
5.160000000000000000e+02,9.999999998076681607e+01
5.170000000000000000e+02,9.999999997412432151e+01
5.180000000000000000e+02,9.999999996526499046e+01
5.190000000000000000e+02,9.999999995347592119e+01
5.200000000000000000e+02,9.999999993782392949e+01
5.210000000000000000e+02,9.999999991709064773e+01
5.220000000000000000e+02,9.999999988968902187e+01
5.230000000000000000e+02,9.999999985355691479e+01
5.240000000000000000e+02,9.999999980602137839e+01
5.250000000000000000e+02,9.999999974362613386e+01
5.260000000000000000e+02,9.999999966191292344e+01
5.270000000000000000e+02,9.999999955514520877e+01
5.280000000000000000e+02,9.999999941595960706e+01
5.290000000000000000e+02,9.999999923492784148e+01
5.300000000000000000e+02,9.999999900000734954e+01
5.310000000000000000e+02,9.999999869585428769e+01
5.320000000000000000e+02,9.999999830296683001e+01
5.330000000000000000e+02,9.999999779661978039e+01
5.340000000000000000e+02,9.999999714554327568e+01
5.350000000000000000e+02,9.999999631028875058e+01
5.360000000000000000e+02,9.999999524121373895e+01
5.370000000000000000e+02,9.999999387600372813e+01
5.380000000000000000e+02,9.999999213663312503e+01
5.390000000000000000e+02,9.999998992564941602e+01
5.400000000000000000e+02,9.999998712164232018e+01
5.410000000000000000e+02,9.999998357373569036e+01
5.420000000000000000e+02,9.999997909491047210e+01
5.430000000000000000e+02,9.999997345393472870e+01
5.440000000000000000e+02,9.999996636563867014e+01
5.450000000000000000e+02,9.999995747923064471e+01
5.460000000000000000e+02,9.999994636430116657e+01
5.470000000000000000e+02,9.999993249410890428e+01
5.480000000000000000e+02,9.999991522568164726e+01
5.490000000000000000e+02,9.999989377619854736e+01
5.500000000000000000e+02,9.999986719504659050e+01
5.510000000000000000e+02,9.999983433086325135e+01
5.520000000000000000e+02,9.999979379279017166e+01
5.530000000000000000e+02,9.999974390506825728e+01
5.540000000000000000e+02,9.999968265400444523e+01
5.550000000000000000e+02,9.999960762623427968e+01
5.560000000000000000e+02,9.999951593709391773e+01
5.570000000000000000e+02,9.999940414780145659e+01
5.580000000000000000e+02,9.999926817003199631e+01
5.590000000000000000e+02,9.999910315635669633e+01
5.600000000000000000e+02,9.999890337490477066e+01
5.610000000000000000e+02,9.999866206650298750e+01
5.620000000000000000e+02,9.999837128245350470e+01
5.630000000000000000e+02,9.999802170103218657e+01
5.640000000000000000e+02,9.999760242073075744e+01
5.650000000000000000e+02,9.999710072823332041e+01
5.660000000000000000e+02,9.999650183911732881e+01
5.670000000000000000e+02,9.999578860930772350e+01
5.680000000000000000e+02,9.999494121539812852e+01
5.690000000000000000e+02,9.999393680209311697e+01
5.700000000000000000e+02,9.999274909522821986e+01
5.710000000000000000e+02,9.999134797909877648e+01
5.720000000000000000e+02,9.998969903718244723e+01
5.730000000000000000e+02,9.998776305578201118e+01
5.740000000000000000e+02,9.998549549065307929e+01
5.750000000000000000e+02,9.998284589732045902e+01
5.760000000000000000e+02,9.997975732653566183e+01
5.770000000000000000e+02,9.997616568718814278e+01
5.780000000000000000e+02,9.997199907995739920e+01
5.790000000000000000e+02,9.996717710608292862e+01
5.800000000000000000e+02,9.996161015682888262e+01
5.810000000000000000e+02,9.995519869052709794e+01
5.820000000000000000e+02,9.994783250548299236e+01
5.830000000000000000e+02,9.993939001851281034e+01
5.840000000000000000e+02,9.992973756042773914e+01
5.850000000000000000e+02,9.991872870136899110e+01
5.860000000000000000e+02,9.990620362049979519e+01
5.870000000000000000e+02,9.989198853614469442e+01
5.880000000000000000e+02,9.987589521399397086e+01
5.890000000000000000e+02,9.985772057242333233e+01
5.900000000000000000e+02,9.983724640526673966e+01
5.910000000000000000e+02,9.981423924347745924e+01
5.920000000000000000e+02,9.978845037796428130e+01
5.930000000000000000e+02,9.975961606644361268e+01
5.940000000000000000e+02,9.972745794734817082e+01
5.950000000000000000e+02,9.969168368362430499e+01
5.960000000000000000e+02,9.965198785858149222e+01
5.970000000000000000e+02,9.960805314477717332e+01
5.980000000000000000e+02,9.955955176518826022e+01
5.990000000000000000e+02,9.950614726359656004e+01
6.000000000000000000e+02,9.944749659817530585e+01
6.010000000000000000e+02,9.938325256868917279e+01
6.020000000000000000e+02,9.931306658350818850e+01
6.030000000000000000e+02,9.923659176779818836e+01
6.040000000000000000e+02,9.915348640881262554e+01
6.050000000000000000e+02,9.906341772821843961e+01
6.060000000000000000e+02,9.896606596490367735e+01
6.070000000000000000e+02,9.886112874481867152e+01
6.080000000000000000e+02,9.874832570719377145e+01
6.090000000000000000e+02,9.862740334907515205e+01
6.100000000000000000e+02,9.849814004265813594e+01
6.110000000000000000e+02,9.836035117252716020e+01
6.120000000000000000e+02,9.821389433279463788e+01
6.130000000000000000e+02,9.805867451744167340e+01
6.140000000000000000e+02,9.789464923108262440e+01
6.150000000000000000e+02,9.772183344208438882e+01
6.160000000000000000e+02,9.754030429565369786e+01
6.170000000000000000e+02,9.735020550133556583e+01
6.180000000000000000e+02,9.715175130750739640e+01
6.190000000000000000e+02,9.694522997505505657e+01
6.200000000000000000e+02,9.673100666360360833e+01
6.210000000000000000e+02,9.650952564654792809e+01
6.220000000000000000e+02,9.628131177575441768e+01
6.230000000000000000e+02,9.604697112321842667e+01
6.240000000000000000e+02,9.580719073515781758e+01
6.250000000000000000e+02,9.556273744395539893e+01
6.260000000000000000e+02,9.531445569494130154e+01
6.270000000000000000e+02,9.506326435810034070e+01
6.280000000000000000e+02,9.481015250922155246e+01
