Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
1.000000000000000000e+02,9.985628439071393814e+01,2.000624597890677148e+00
1.005000000000000000e+02,9.985431654898506793e+01,2.000633156502990229e+00
1.010000000000000000e+02,9.985228576065409811e+01,2.000641989061913151e+00
1.015000000000000000e+02,9.985018941917721236e+01,2.000651106921216726e+00
1.020000000000000000e+02,9.984802479832511324e+01,2.000660521956751037e+00
1.025000000000000000e+02,9.984578904707713320e+01,2.000670246588788892e+00
1.030000000000000000e+02,9.984347918439948444e+01,2.000680293804883991e+00
1.035000000000000000e+02,9.984109209391583306e+01,2.000690677183211807e+00
1.040000000000000000e+02,9.983862451847956265e+01,2.000701410916351008e+00
1.045000000000000000e+02,9.983607305465822890e+01,2.000712509835461894e+00
1.050000000000000000e+02,9.983343414714229880e+01,2.000723989434811667e+00
1.055000000000000000e+02,9.983070408309104948e+01,2.000735865896586585e+00
1.060000000000000000e+02,9.982787898643046276e+01,2.000748156115937704e+00
1.065000000000000000e+02,9.982495481211903154e+01,2.000760877726179832e+00
1.070000000000000000e+02,9.982192734039911386e+01,2.000774049124079745e+00
1.075000000000000000e+02,9.981879217105266378e+01,2.000787689495147070e+00
1.080000000000000000e+02,9.981554471768222925e+01,2.000801818838837232e+00
1.085000000000000000e+02,9.981218020203937158e+01,2.000816457993580766e+00
1.090000000000000000e+02,9.980869364842426705e+01,2.000831628661526196e+00
1.095000000000000000e+02,9.980507987818236870e+01,2.000847353432891662e+00
1.100000000000000000e+02,9.980133350432515726e+01,2.000863655809813846e+00
1.105000000000000000e+02,9.979744892630426989e+01,2.000880560229556959e+00
1.110000000000000000e+02,9.979342032496970205e+01,2.000898092086963231e+00
1.115000000000000000e+02,9.978924165774478183e+01,2.000916277755996120e+00
1.120000000000000000e+02,9.978490665405223581e+01,2.000935144610234584e+00
1.125000000000000000e+02,9.978040881102778314e+01,2.000954721042158990e+00
1.130000000000000000e+02,9.977574138955924354e+01,2.000975036481064784e+00
1.135000000000000000e+02,9.977089741069110573e+01,2.000996121409440054e+00
1.140000000000000000e+02,9.976586965243643590e+01,2.001018007377614705e+00
1.145000000000000000e+02,9.976065064703975338e+01,2.001040727016507148e+00
1.150000000000000000e+02,9.975523267873649047e+01,2.001064314048262016e+00
1.155000000000000000e+02,9.974960778205648637e+01,2.001088803294582164e+00
1.160000000000000000e+02,9.974376774072082696e+01,2.001114230682536910e+00
1.165000000000000000e+02,9.973770408718341685e+01,2.001140633247628475e+00
1.170000000000000000e+02,9.973140810287041802e+01,2.001168049133889681e+00
1.175000000000000000e+02,9.972487081917277862e+01,2.001196517590765112e+00
1.180000000000000000e+02,9.971808301924890827e+01,2.001226078966543032e+00
1.185000000000000000e+02,9.971103524069673085e+01,2.001256774698068064e+00
1.190000000000000000e+02,9.970371777915606515e+01,2.001288647296478374e+00
1.195000000000000000e+02,9.969612069290465683e+01,2.001321740328693810e+00
1.200000000000000000e+02,9.968823380851279126e+01,2.001356098394361904e+00
1.205000000000000000e+02,9.968004672762383223e+01,2.001391767097983276e+00
1.210000000000000000e+02,9.967154883492955264e+01,2.001428793015902041e+00
1.215000000000000000e+02,9.966272930741139646e+01,2.001467223657860117e+00
1.220000000000000000e+02,9.965357712492030373e+01,2.001507107422788589e+00
1.225000000000000000e+02,9.964408108216946403e+01,2.001548493548514607e+00
1.230000000000000000e+02,9.963422980221548642e+01,2.001591432055050301e+00
1.235000000000000000e+02,9.962401175150451138e+01,2.001635973681121783e+00
1.240000000000000000e+02,9.961341525655988960e+01,2.001682169813599810e+00
1.245000000000000000e+02,9.960242852238791045e+01,2.001730072409491079e+00
1.250000000000000000e+02,9.959103965267607350e+01,2.001779733910158399e+00
1.255000000000000000e+02,9.957923667185630734e+01,2.001831207147437119e+00
1.260000000000000000e+02,9.956700754910006879e+01,2.001884545241348956e+00
1.265000000000000000e+02,9.955434022430665664e+01,2.001939801489131199e+00
1.270000000000000000e+02,9.954122263613551524e+01,2.001997029245340620e+00
1.275000000000000000e+02,9.952764275212160783e+01,2.002056281792842451e+00
1.280000000000000000e+02,9.951358860089523262e+01,2.002117612204577846e+00
1.285000000000000000e+02,9.949904830650648080e+01,2.002181073196076966e+00
1.290000000000000000e+02,9.948401012482690930e+01,2.002246716968820284e+00
1.295000000000000000e+02,9.946846248196662543e+01,2.002314595044685230e+00
1.300000000000000000e+02,9.945239401460348461e+01,2.002384758091904526e+00
1.305000000000000000e+02,9.943579361207031297e+01,2.002457255743176123e+00
1.310000000000000000e+02,9.941865045998675043e+01,2.002532136406824481e+00
1.315000000000000000e+02,9.940095408515222175e+01,2.002609447072220661e+00
1.320000000000000000e+02,9.938269440133710475e+01,2.002689233111011102e+00
1.325000000000000000e+02,9.936386175551949407e+01,2.002771538076096647e+00
1.330000000000000000e+02,9.934444697401637825e+01,2.002856403500747895e+00
1.335000000000000000e+02,9.932444140785293030e+01,2.002943868700681751e+00
1.340000000000000000e+02,9.930383697660445819e+01,2.003033970582436485e+00
1.345000000000000000e+02,9.928262620983615250e+01,2.003126743461832504e+00
1.350000000000000000e+02,9.926080228516383386e+01,2.003222218896790974e+00
1.355000000000000000e+02,9.923835906186887712e+01,2.003320425539161675e+00
1.360000000000000000e+02,9.921529110893422398e+01,2.003421389010529463e+00
1.365000000000000000e+02,9.919159372633289706e+01,2.003525131807124549e+00
1.370000000000000000e+02,9.916726295840965122e+01,2.003631673238942756e+00
1.375000000000000000e+02,9.914229559825839999e+01,2.003741029407930085e+00
1.380000000000000000e+02,9.911668918212565416e+01,2.003853213229530361e+00
1.385000000000000000e+02,9.909044197306943147e+01,2.003968234501052326e+00
1.390000000000000000e+02,9.906355293337993828e+01,2.004086100019110805e+00
1.395000000000000000e+02,9.903602168562180452e+01,2.004206813746853388e+00
1.400000000000000000e+02,9.900784846258122229e+01,2.004330377029850840e+00
1.405000000000000000e+02,9.897903404688049989e+01,2.004456788857420513e+00
1.410000000000000000e+02,9.894957970153606652e+01,2.004586046163914226e+00
1.415000000000000000e+02,9.891948709325282607e+01,2.004718144162211502e+00
1.420000000000000000e+02,9.888875821073324346e+01,2.004853076699529613e+00
1.425000000000000000e+02,9.885739528069420601e+01,2.004990836623816275e+00
1.430000000000000000e+02,9.882540068458810367e+01,2.005131416147624357e+00
1.435000000000000000e+02,9.879277687918249740e+01,2.005274807195651654e+00
1.440000000000000000e+02,9.875952632413726917e+01,2.005421001722150098e+00
1.445000000000000000e+02,9.872565141951686485e+01,2.005569991985257428e+00
1.450000000000000000e+02,9.869115445578763968e+01,2.005721770766968337e+00
1.455000000000000000e+02,9.865603757829858012e+01,2.005876331529844681e+00
1.460000000000000000e+02,9.862030276755970704e+01,2.006033668504549894e+00
1.465000000000000000e+02,9.858395183586998201e+01,2.006193776705617271e+00
1.470000000000000000e+02,9.854698644006028019e+01,2.006356651876304298e+00
1.475000000000000000e+02,9.850940810937224512e+01,2.006522290366667516e+00
1.480000000000000000e+02,9.847121828684763045e+01,2.006690688951833668e+00
1.485000000000000000e+02,9.843241838210602168e+01,2.006861844599650002e+00
1.490000000000000000e+02,9.839300983307768433e+01,2.007035754198290167e+00
1.495000000000000000e+02,9.835299417415303935e+01,2.007212414254874400e+00
1.500000000000000000e+02,9.831237310831345155e+01,2.007391820575751051e+00
1.505000000000000000e+02,9.827114858110797968e+01,2.007573967937778203e+00
1.510000000000000000e+02,9.822932285481040537e+01,2.007758849757900421e+00
1.515000000000000000e+02,9.818689858169936713e+01,2.007946457765656945e+00
1.520000000000000000e+02,9.814387887611006533e+01,2.008136781680139205e+00
1.525000000000000000e+02,9.810026738567465543e+01,2.008329808889523616e+00
1.530000000000000000e+02,9.805606836296253448e+01,2.008525524127790174e+00
1.535000000000000000e+02,9.801128673952351278e+01,2.008723909139698449e+00
1.540000000000000000e+02,9.796592820510434763e+01,2.008924942321670848e+00
1.545000000000000000e+02,9.791999929553608695e+01,2.009128598322950321e+00
1.550000000000000000e+02,9.787350749346632028e+01,2.009334847588344797e+00
1.555000000000000000e+02,9.782646134673282745e+01,2.009543655821027119e+00
1.560000000000000000e+02,9.777887060973695554e+01,2.009754983341275114e+00
1.565000000000000000e+02,9.773074641367561810e+01,2.009968784314708490e+00
1.570000000000000000e+02,9.768210147192064596e+01,2.010185005821550686e+00
1.575000000000000000e+02,9.763295032718318112e+01,2.010403586736771331e+00
1.580000000000000000e+02,9.758330964734780366e+01,2.010624456389718429e+00
1.585000000000000000e+02,9.753319857697738371e+01,2.010847532971199669e+00
1.590000000000000000e+02,9.748263915143209601e+01,2.011072721656080198e+00
1.595000000000000000e+02,9.743165678026063858e+01,2.011299912410593471e+00
1.600000000000000000e+02,9.738028080593599611e+01,2.011528977456045197e+00
1.605000000000000000e+02,9.732854514303581084e+01,2.011759768364822953e+00
1.610000000000000000e+02,9.727648900150717282e+01,2.011992112771057606e+00
1.615000000000000000e+02,9.722415769558850229e+01,2.012225810687497507e+00
1.620000000000000000e+02,9.717160353716339216e+01,2.012460630432705955e+00
1.625000000000000000e+02,9.711888680866104551e+01,2.012696304189189433e+00
1.630000000000000000e+02,9.706607680597294063e+01,2.012932523234117088e+00
1.635000000000000000e+02,9.701325293612588041e+01,2.013168932910349262e+00
1.640000000000000000e+02,9.696050584757917079e+01,2.013405127436872721e+00
1.645000000000000000e+02,9.690793856301078790e+01,2.013640644694418835e+00
1.650000000000000000e+02,9.685566757543753624e+01,2.013874961163541144e+00
